	Creature 	CR 	AC 	hp
	Aarakocra	1/4	12	13
	Aberrant Spirit	-	11	40
	Abjurer Wizard	9	12	104
	Aboleth	10	17	135
	Abominable Yeti	9	15	137
	Acererak	23	21	285
	Acolyte	1/4	10	9
	Adult Amethyst Dragon	16	19	229
	Adult Black Dragon	14	19	195
	Adult Blue Dracolich	17	19	225
	Adult Blue Dragon	16	19	225
	Adult Brass Dragon	13	18	172
	Adult Bronze Dragon	15	19	212
	Adult Copper Dragon	14	18	184
	Adult Crystal Dragon	12	16	172
	Adult Deep Dragon	11	17	147
	Adult Emerald Dragon	14	18	207
	Adult Gold Dragon	17	19	256
	Adult Green Dragon	15	19	207
	Adult Kruthik	2	18	39
	Adult Moonstone Dragon	15	19	195
	Adult Oblex	5	14	75
	Adult Red Dragon	17	19	256
	Adult Sapphire Dragon	15	18	225
	Adult Silver Dragon	16	19	243
	Adult Topaz Dragon	13	18	210
	Adult White Dragon	13	18	200
	Air Elemental	5	15	90
	Air Elemental Myrmidon	7	18	117
	Alhoon	10	15	150
	Alkilith	11	17	168
	Allip	5	13	40
	Allosaurus	2	13	51
	Alustriel Silverhand	21	15	272
	Amethyst Dragon Wyrmling	4	17	75
	Amnizu	18	21	202
	Ancient Amethyst Dragon	23	20	444
	Ancient Black Dragon	21	22	367
	Ancient Blue Dragon	23	22	481
	Ancient Brass Dragon	20	20	297
	Ancient Bronze Dragon	22	22	444
	Ancient Copper Dragon	21	21	350
	Ancient Crystal Dragon	19	20	222
	Ancient Deep Dragon	18	20	201
	Ancient Dragon Turtle	24	22	409
	Ancient Emerald Dragon	21	20	332
	Ancient Gold Dragon	24	22	546
	Ancient Green Dragon	22	21	385
	Ancient Moonstone Dragon	21	20	330
	Ancient Red Dragon	24	22	546
	Ancient Sapphire Dragon	22	20	370
	Ancient Sea Serpent	14	17	170
	Ancient Shadow	1	13	32
	Ancient Silver Dragon	23	22	487
	Ancient Topaz Dragon	20	20	280
	Ancient White Dragon	20	20	333
	Androsphinx	17	17	199
	Angry Sorrowsworn	13	18	255
	Animated Armor	1	18	33
	Animated Breath	6	15	95
	Ankheg	2	14	39
	Ankylosaurus	3	15	68
	Annis Hag	6	17	90
	Ape	1/2	12	19
	Apprentice Wizard	1/4	10	13
	Arcanaloth	12	17	104
	Archdruid	12	14	154
	Archer	3	16	75
	Archmage	12	12	99
	Armanite	7	16	94
	Asmodeus	30	22	725
	Assassin	8	15	78
	Assassin Vine	3	13	85
	Astral Dreadnought	21	20	297
	Aurak Draconian	6	17	67
	Aurochs	2	11	38
	Autumn Eladrin	10	19	165
	Avatar of Death	-	20	0
	Awakened Shrub	0	9	10
	Awakened Tree	2	13	59
	Axe Beak	1/4	11	19
	Azer	2	17	39
	Baalzebul	26	19	540
	Baaz Draconian	1/2	14	22
	Babau	4	16	82
	Baboon	0	12	3
	Badger	0	10	3
	Bael	19	18	189
	Bag Jelly	1	8	42
	Balhannoth	11	17	114
	Balor	19	19	262
	Banderhobb	5	15	84
	Bandit	1/8	12	11
	Bandit Captain	2	15	65
	Banshee	4	12	58
	Baphomet	23	22	319
	Barbed Devil	5	15	110
	Bard	2	15	44
	Barghest	4	17	60
	Barlgura	5	15	68
	Barrowghast	7	12	138
	Basilisk	3	15	52
	Bat	0	12	1
	Bearded Devil	3	13	52
	Beast of the Land	-	13	5
	Beast of the Sea	-	13	5
	Beast of the Sky	-	13	4
	Behir	11	17	168
	Beholder	13	18	180
	Beholder Zombie	5	15	93
	Bel	25	19	364
	Belaphoss	20	19	262
	Belial	25	21	420
	Berbalang	2	14	49
	Berserker	2	13	67
	Bestial Spirit	-	11	20
	Bheur Hag	7	17	91
	Black Abishai	7	15	58
	Black Bear	1/2	11	19
	Black Dragon Wyrmling	2	17	33
	Black Gauntlet of Bane	6	16	51
	Black Pudding	4	7	85
	Blackguard	8	18	119
	Blink Dog	1/4	13	22
	Blood Hawk	1/8	12	7
	Blue Abishai	17	19	202
	Blue Dragon Wyrmling	3	17	52
	Blue Slaad	7	15	123
	Boar	1/4	11	11
	Bodak	6	15	58
	Boggle	1/8	14	18
	Bone Devil	9	19	142
	Bone Naga	4	15	58
	Boneclaw	12	16	150
	Bozak Draconian	2	15	40
	Brain in a Jar	3	11	55
	Brass Dragon Wyrmling	1	16	16
	Bronze Dragon Wyrmling	2	17	32
	Brown Bear	1	11	34
	Bugbear	1	16	27
	Bugbear Chief	3	17	65
	Bulette	5	17	94
	Bulezau	3	14	52
	Bullywug	1/4	15	11
	Bullywug Knight	3	18	66
	Cadaver Collector	14	17	189
	Cairnwight	9	19	138
	Cambion	5	19	82
	Camel	1/8	9	15
	Canoloth	8	16	120
	Carrion Crawler	2	13	51
	Cat	0	12	2
	Catoblepas	5	14	84
	Cave Fisher	3	16	58
	Celestial Spirit	-	11	40
	Centaur	2	12	45
	Chain Devil	8	16	85
	Champion	9	18	143
	Chasme	6	15	84
	Chimera	6	14	114
	Chitine	1/2	14	18
	Choker	1	16	13
	Choldrith	3	15	66
	Chromatic Greatwyrm	27	22	533
	Chuul	4	16	93
	Cinder Hulk	7	16	84
	Clay Golem	9	14	133
	Cloaker	8	14	78
	Clockwork Iron Cobra	4	13	91
	Cloud Giant	9	14	200
	Cloud Giant Destiny Gambler	19	15	337
	Cloud Giant of Evil Air	12	14	200
	Cloud Giant Smiling One	11	15	250
	Cockatrice	1/2	11	27
	Commoner	0	10	4
	Conjurer Wizard	6	12	58
	Constrictor Snake	1/4	12	13
	Construct Spirit	-	13	40
	Copper Dragon Wyrmling	1	16	22
	Corpse Flower	8	12	127
	Couatl	4	19	97
	Crab	0	11	2
	Cradle of the Cloud Scion	26	19	624
	Cradle of the Fire Scion	25	20	555
	Cradle of the Frost Scion	24	20	499
	Cradle of the Hill Scion	22	19	402
	Cradle of the Stone Scion	23	20	455
	Cradle of the Storm Scion	27	19	682
	Cranium Rat	0	12	2
	Crawling Claw	0	12	2
	Crocodile	1/2	12	19
	Crokek'toeck	14	15	297
	Crystal Dragon Wyrmling	2	14	32
	Cult Fanatic	2	13	33
	Cultist	1/8	12	9
	Cyclops	6	14	138
	Dancing Item	-	16	10
	Dao	11	18	187
	Darkling	1/2	14	13
	Darkling Elder	2	15	27
	Darkmantle	1/2	11	22
	Death Dog	1	12	39
	Death Giant Reaper	12	18	172
	Death Giant Shrouded One	15	12	195
	Death Kiss	10	15	142
	Death Knight	17	20	180
	Death Slaad	10	18	170
	Death Tyrant	14	19	187
	Death's Head of Bhaal	5	15	76
	Deathlock	4	12	36
	Deathlock Mastermind	8	13	110
	Deathlock Wight	3	12	37
	Deep Dragon Wyrmling	1	15	27
	Deep Gnome (Svirfneblin)	1/2	15	16
	Deep Rothé	1/4	10	13
	Deep Scion	3	11	67
	Deer	0	13	4
	Demilich	18	20	80
	Demogorgon	26	22	464
	Derro	1/4	13	13
	Derro Savant	3	13	36
	Deva	10	17	136
	Devilroot	7	15	105
	Devourer	13	16	189
	Dhergoloth	7	15	119
	Dire Troll	13	15	172
	Dire Wolf	1	14	37
	Dispater	27	21	412
	Displacer Beast	3	13	85
	Diviner Wizard	8	12	90
	Djinni	11	17	161
	Dolphin	1/8	12	11
	Dolphin Delighter	3	14	27
	Doppelganger	3	14	52
	Dracohydra	11	17	218
	Draconian Dreadnought	4	16	57
	Draconian Foot Soldier	1/2	14	22
	Draconian Infiltrator	3	15	39
	Draconian Mage	2	15	40
	Draconian Mastermind	6	17	67
	Draconic Shard	17	17	168
	Draconic Spirit	-	14	50
	Draegloth	7	15	123
	Draft Horse	1/4	10	19
	Dragon Blessed	5	14	75
	Dragon Chosen	3	17	45
	Dragon Speaker	2	13	36
	Dragon Turtle	17	20	341
	Dragon Turtle Wyrmling	4	18	90
	Dragonblood Ooze	5	14	68
	Dragonbone Golem	11	17	161
	Dragonborn of Bahamut	8	18	93
	Dragonborn of Sardior	6	20	75
	Dragonborn of Tiamat	7	18	85
	Dragonflesh Abomination	6	15	66
	Dragonflesh Grafter	3	14	52
	Dragonnel	2	13	58
	Drake Companion	-	14	5
	Dretch	1/4	11	18
	Drider	6	19	123
	Drow	1/4	15	13
